"YEAR","START_DATE","JURISDICTION","PREDICTION_DETECTION_METHOD","METRIC","LOCATION","FINES","END_DATE","DETECTION_METHOD","AGE_GROUP"
2024,"1/1/2024","NSW","police_issued","speed_fines","Major Cities of Australia",1888,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","NSW","police_issued","speed_fines","Major Cities of Australia",285,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","NSW","police_issued","speed_fines","Outer Regional Australia",2,"1/31/2024","Police issued","0-16"
2024,"1/1/2024","NSW","police_issued","speed_fines","Outer Regional Australia",347,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","NSW","police_issued","speed_fines","Outer Regional Australia",639,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","NSW","police_issued","speed_fines","Outer Regional Australia",732,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","NSW","police_issued","speed_fines","Outer Regional Australia",194,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","NSW","police_issued","speed_fines","Remote Australia",1,"1/31/2024","Police issued","0-16"
2024,"1/1/2024","NSW","police_issued","speed_fines","Remote Australia",28,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","NSW","police_issued","speed_fines","Remote Australia",55,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","NSW","police_issued","speed_fines","Remote Australia",54,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","NSW","police_issued","speed_fines","Remote Australia",21,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","NSW","police_issued","speed_fines","Unknown",2,"1/31/2024","Police issued","0-16"
2024,"1/1/2024","NSW","police_issued","speed_fines","Unknown",96,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","NSW","police_issued","speed_fines","Unknown",136,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","NSW","police_issued","speed_fines","Unknown",126,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","NSW","police_issued","speed_fines","Unknown",26,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","NSW","camera_issued","speed_fines","Unknown",28498,"1/31/2024","Fixed Camera","Unknown"
2024,"1/1/2024","NSW","camera_issued","speed_fines","Unknown",2870,"1/31/2024","Mobile Camera","Unknown"
2024,"1/1/2024","NSW","camera_issued","speed_fines","Unknown",17764,"1/31/2024","Red light Camera","Unknown"
2024,"1/1/2024","NSW","unknown","speed_fines","Unknown",1,"1/31/2024","Unknown","Unknown"
2024,"1/1/2024","NSW","police_issued","speed_fines","Very Remote Australia",2,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","NSW","police_issued","speed_fines","Very Remote Australia",4,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","NSW","police_issued","speed_fines","Very Remote Australia",5,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",3,"1/31/2024","Mobile Camera","0-16"
2024,"1/1/2024","NT","Other","speed_fines","Unknown",0,"1/31/2024","Other","0-16"
2024,"1/1/2024","NT","police_issued","speed_fines","Unknown",2,"1/31/2024","Police issued","0-16"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",84,"1/31/2024","Fixed Camera","17-25"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",460,"1/31/2024","Mobile Camera","17-25"
2024,"1/1/2024","NT","Other","speed_fines","Unknown",0,"1/31/2024","Other","17-25"
2024,"1/1/2024","NT","police_issued","speed_fines","Unknown",34,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",380,"1/31/2024","Fixed Camera","26-39"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",1254,"1/31/2024","Mobile Camera","26-39"
2024,"1/1/2024","NT","Other","speed_fines","Unknown",0,"1/31/2024","Other","26-39"
2024,"1/1/2024","NT","police_issued","speed_fines","Unknown",46,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",511,"1/31/2024","Fixed Camera","40-64"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",1575,"1/31/2024","Mobile Camera","40-64"
2024,"1/1/2024","NT","Other","speed_fines","Unknown",0,"1/31/2024","Other","40-64"
2024,"1/1/2024","NT","police_issued","speed_fines","Unknown",45,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",83,"1/31/2024","Fixed Camera","65 and over"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",381,"1/31/2024","Mobile Camera","65 and over"
2024,"1/1/2024","NT","Other","speed_fines","Unknown",0,"1/31/2024","Other","65 and over"
2024,"1/1/2024","NT","police_issued","speed_fines","Unknown",5,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",25,"1/31/2024","Fixed Camera","Unknown"
2024,"1/1/2024","NT","camera_issued","speed_fines","Unknown",112,"1/31/2024","Mobile Camera","Unknown"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",602,"1/31/2024","Fixed Camera","0-16"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",748,"1/31/2024","Mobile Camera","0-16"
2024,"1/1/2024","QLD","police_issued","speed_fines","Unknown",4,"1/31/2024","Police issued","0-16"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",2530,"1/31/2024","Fixed Camera","17-25"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",5118,"1/31/2024","Mobile Camera","17-25"
2024,"1/1/2024","QLD","police_issued","speed_fines","Unknown",1991,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",6221,"1/31/2024","Fixed Camera","26-39"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",10612,"1/31/2024","Mobile Camera","26-39"
2024,"1/1/2024","QLD","police_issued","speed_fines","Unknown",2825,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",9251,"1/31/2024","Fixed Camera","40-64"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",15185,"1/31/2024","Mobile Camera","40-64"
2024,"1/1/2024","QLD","police_issued","speed_fines","Unknown",3245,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",2350,"1/31/2024","Fixed Camera","65 and over"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",3861,"1/31/2024","Mobile Camera","65 and over"
2024,"1/1/2024","QLD","police_issued","speed_fines","Unknown",636,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",91,"1/31/2024","Fixed Camera","Unknown"
2024,"1/1/2024","QLD","camera_issued","speed_fines","Unknown",131,"1/31/2024","Mobile Camera","Unknown"
2024,"1/1/2024","QLD","police_issued","speed_fines","Unknown",2,"1/31/2024","Police issued","Unknown"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",47,"1/31/2024","Fixed Camera","17-25"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",150,"1/31/2024","Mobile Camera","17-25"
2024,"1/1/2024","SA","police_issued","speed_fines","Inner Regional Australia",165,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",95,"1/31/2024","Fixed Camera","26-39"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",408,"1/31/2024","Mobile Camera","26-39"
2024,"1/1/2024","SA","police_issued","speed_fines","Inner Regional Australia",374,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",123,"1/31/2024","Fixed Camera","40-64"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",744,"1/31/2024","Mobile Camera","40-64"
2024,"1/1/2024","SA","police_issued","speed_fines","Inner Regional Australia",443,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",46,"1/31/2024","Fixed Camera","65 and over"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",310,"1/31/2024","Mobile Camera","65 and over"
2024,"1/1/2024","SA","police_issued","speed_fines","Inner Regional Australia",139,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",15,"1/31/2024","Fixed Camera","Unknown"
2024,"1/1/2024","SA","camera_issued","speed_fines","Inner Regional Australia",24,"1/31/2024","Mobile Camera","Unknown"
2024,"1/1/2024","SA","police_issued","speed_fines","Inner Regional Australia",1,"1/31/2024","Police issued","Unknown"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",1,"1/31/2024","Fixed Camera","0-16"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",1,"1/31/2024","Mobile Camera","0-16"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",399,"1/31/2024","Fixed Camera","17-25"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",549,"1/31/2024","Mobile Camera","17-25"
2024,"1/1/2024","SA","police_issued","speed_fines","Major Cities of Australia",228,"1/31/2024","Police issued","17-25"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",998,"1/31/2024","Fixed Camera","26-39"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",1369,"1/31/2024","Mobile Camera","26-39"
2024,"1/1/2024","SA","police_issued","speed_fines","Major Cities of Australia",333,"1/31/2024","Police issued","26-39"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",2158,"1/31/2024","Fixed Camera","40-64"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",2301,"1/31/2024","Mobile Camera","40-64"
2024,"1/1/2024","SA","police_issued","speed_fines","Major Cities of Australia",392,"1/31/2024","Police issued","40-64"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",918,"1/31/2024","Fixed Camera","65 and over"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",721,"1/31/2024","Mobile Camera","65 and over"
2024,"1/1/2024","SA","police_issued","speed_fines","Major Cities of Australia",95,"1/31/2024","Police issued","65 and over"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",126,"1/31/2024","Fixed Camera","Unknown"
2024,"1/1/2024","SA","camera_issued","speed_fines","Major Cities of Australia",115,"1/31/2024","Mobile Camera","Unknown"
2024,"1/1/2024","SA","police_issued","speed_fines","Major Cities of Australia",1,"1/31/2024","Police issued","Unknown"
2024,"1/1/2024","SA","camera_issued","speed_fines","Outer Regional Australia",1,"1/31/2024","Mobile Camera","0-16"
