"YEAR","LOCATION","Sum(FINES)"
2008,"All regions",2639
2009,"All regions",2576
2010,"All regions",2518
2011,"All regions",2856
2012,"All regions",3004
2013,"All regions",2908
2014,"All regions",3670
2015,"All regions",3798
2016,"All regions",3265
2017,"All regions",3691
2018,"All regions",4280
2019,"All regions",3697
2020,"All regions",3773
2021,"All regions",4867
2022,"All regions",4551
2023,"Inner Regional Australia",300
2023,"Major Cities of Australia",1171
2023,"Outer Regional Australia",53
2023,"Remote Australia",2
2023,"Unknown",2710
2023,"Very Remote Australia",0
2024,"Inner Regional Australia",188
2024,"Major Cities of Australia",817
2024,"Outer Regional Australia",57
2024,"Remote Australia",6
2024,"Unknown",2253
2024,"Very Remote Australia",2
